Date,Label,pos,neg,compound,neutral
2008-08-08,0,0.057,0.235,-0.9978,0.708
2008-08-11,1,0.1,0.186,-0.9783,0.714
2008-08-12,0,0.052,0.135,-0.9753,0.813
2008-08-13,0,0.068,0.156,-0.9818,0.776
2008-08-14,1,0.101,0.201,-0.9874,0.698
2008-08-15,1,0.076,0.161,-0.9783,0.763
2008-08-18,0,0.057,0.226,-0.9938,0.717
2008-08-19,0,0.054,0.244,-0.9965,0.702
2008-08-20,1,0.049,0.2,-0.9939,0.751
2008-08-21,1,0.067,0.224,-0.9966,0.709
2008-08-22,1,0.09,0.151,-0.9701,0.759
2008-08-25,0,0.026,0.284,-0.9978,0.69
2008-08-26,1,0.074,0.227,-0.9907,0.7
2008-08-27,1,0.058,0.186,-0.9909,0.756
2008-08-28,1,0.12,0.178,-0.9588,0.702
2008-08-29,0,0.078,0.144,-0.9612,0.778
2008-09-02,0,0.047,0.268,-0.9977,0.684
2008-09-03,1,0.062,0.168,-0.9863,0.769
2008-09-04,0,0.092,0.209,-0.9921,0.699
2008-09-05,1,0.1,0.245,-0.9965,0.655
